2020-04-21 15:21:30.120 [main] INFO  eu.mihosoft.freerouting.FreeRouting - Freerouting application is started.
2020-04-21 15:21:30.477 [main] TRACE eu.mihosoft.freerouting.FreeRouting - Method 'MainApplication.main()' was performed in 0.53 seconds.
2020-04-21 15:21:56.127 [AWT-EventQueue-0] INFO  eu.mihosoft.freerouting.FreeRouting - Opening 'DiyIpmi.dsn'...
2020-04-21 15:21:56.793 [AWT-EventQueue-0] INFO  eu.mihosoft.freerouting.FreeRouting - Opening 'DiyIpmi.rules'...
2020-04-21 15:21:56.795 [AWT-EventQueue-0] ERROR eu.mihosoft.freerouting.FreeRouting - File 'DiyIpmi.rules' was not found.
2020-04-21 15:22:28.314 [AWT-EventQueue-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:28.874 [Thread-0] TRACE eu.mihosoft.freerouting.FreeRouting - Method 'BatchAutorouter.autoroute_pass #1 on board '2f3249e26ee6782756266dd7fbd9af65' making 43 changes' was performed in 0.45 seconds.
2020-04-21 15:22:28.972 [Thread-0] TRACE eu.mihosoft.freerouting.FreeRouting - Method 'BatchAutorouter.autoroute_pass #2 on board 'f563730fe72eea0509e08cadebfc00d5' making 3 changes' was performed in 0.08 seconds.
2020-04-21 15:22:28.987 [Thread-0] TRACE eu.mihosoft.freerouting.FreeRouting - Method 'BatchAutorouter.autoroute_pass #3 on board 'a68692a70e3e1bad6e164135f8e476c9' making 0 changes' was performed in 0.00 seconds.
2020-04-21 15:22:28.994 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:29.011 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:29.038 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:29.050 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:29.074 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:29.092 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:29.107 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:29.125 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:29.139 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:29.162 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:29.177 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:29.192 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2020-04-21 15:22:29.209 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
